lat,long,z
70.16995156,-26.98679531,263
70.1699515,-26.98600292,257
70.16995144,-26.98521054,249
70.16995137,-26.98441815,247
70.1699513,-26.98362576,252
70.16995123,-26.98283337,263
70.16995115,-26.98204099,277
70.16995107,-26.9812486,288
70.16995098,-26.98045621,300
70.1699509,-26.97966382,308
70.1699508,-26.97887144,314
70.16995071,-26.97807905,326
70.16995061,-26.97728666,340
70.16968291,-26.9931345,347
70.16968287,-26.99234213,339
70.16968284,-26.99154975,324
70.1696828,-26.99075737,306
70.16968276,-26.98996499,290
70.16968271,-26.98917262,278
70.16968266,-26.98838024,272
70.16968261,-26.98758786,271
70.16968255,-26.98679548,270
70.16968249,-26.98600311,265
70.16968243,-26.98521073,254
70.16968236,-26.98441835,250
70.16968229,-26.98362598,251
70.16968222,-26.9828336,259
70.16968214,-26.98204122,273
70.16968206,-26.98124884,286
70.16968197,-26.98045647,300
70.16968189,-26.97966409,308
70.16968179,-26.97887171,310
70.1696817,-26.97807933,318
70.1696816,-26.97728696,337
70.1694139,-26.99313459,356
70.16941386,-26.99234222,344
70.16941383,-26.99154986,329
70.16941379,-26.99075749,313
70.16941375,-26.98996512,298
70.1694137,-26.98917276,285
70.16941365,-26.98838039,279
70.1694136,-26.98758802,275
70.16941354,-26.98679566,273
70.16941348,-26.98600329,271
70.16941342,-26.98521092,263
70.16941335,-26.98441856,255
70.16941328,-26.98362619,252
70.16941321,-26.98283382,258
70.16941313,-26.98204145,273
70.16941305,-26.98124909,288
70.16941296,-26.98045672,302
70.16941287,-26.97966435,309
70.16941278,-26.97887199,309
70.16941269,-26.97807962,312
70.16941259,-26.97728725,329
70.16941249,-26.97649489,356
70.16914485,-26.99234232,351
70.16914482,-26.99154997,338
70.16914478,-26.99075761,324
70.16914473,-26.98996525,310
70.16914469,-26.9891729,299
70.16914464,-26.98838054,288
70.16914459,-26.98758818,278
70.16914453,-26.98679583,275
70.16914447,-26.98600347,272
70.16914441,-26.98521111,265
70.16914434,-26.98441876,259
70.16914427,-26.9836264,254
70.16914419,-26.98283404,258
70.16914412,-26.98204169,272
70.16914404,-26.98124933,288
70.16914395,-26.98045697,299
70.16914386,-26.97966462,305
70.16914377,-26.97887226,305
70.16914368,-26.97807991,308
70.16914358,-26.97728755,322
70.16914348,-26.97649519,345
70.16914337,-26.97570284,367
70.16887584,-26.99234242,357
70.16887581,-26.99155008,347
70.16887577,-26.99075773,335
70.16887572,-26.98996538,323
70.16887568,-26.98917304,312
70.16887563,-26.98838069,298
70.16887557,-26.98758835,284
70.16887552,-26.986796,278
70.16887546,-26.98600365,273
